Trial,Input_SNR_dB,Output_SNR_dB,SNR_Change_dB,Input_THD_dB,Output_THD_dB,Signal Shape,Signal Frequency
1,57.70599452766676,37.009448106424585,-20.696546421242175,-11.12909066620388,-6.8399280379119896,sine,1kHz
2,57.79835999835679,36.849759098070294,-20.948600900286493,-11.130658441542408,-6.805556479787152,sine,1kHz
3,57.743289764975486,37.14969203921919,-20.593597725756297,-11.114059374711768,-6.7736277500668525,sine,1kHz
4,57.72022245577422,37.05047332606903,-20.66974912970519,-11.12977504476116,-6.766906192781562,sine,1kHz
5,57.66889254103929,36.98061019973633,-20.68828234130296,-11.133236037964707,-6.968525718696343,sine,1kHz
6,57.681364783273494,37.146886907555874,-20.53447787571762,-11.133032018175626,-6.835409453610215,sine,1kHz
7,57.68220021192764,37.2033361837274,-20.478864028200242,-11.124395209732148,-6.993422854471438,sine,1kHz
8,57.65357558632344,37.22255821715564,-20.431017369167805,-11.126042348023864,-6.861768302768555,sine,1kHz
9,57.693719852701555,37.393698555284864,-20.30002129741669,-11.125622099073532,-6.778904147435707,sine,1kHz
10,57.75217785076346,37.38922221399805,-20.362955636765406,-11.131345419746943,-6.8695164377018125,sine,1kHz
